mindex,n,predictors,rsquare,adjr,predrsq,cp,aic,sbic,sbc,msep,fpe,apc,hsp
12,2,mpg carclass_id,0.5207823049692936,0.4953692453843319,0.4749133736797827,124.0039436762101,3110.4050533879504,2699.9396488226084,3136.8798351914343,32812951840.79642,248455214.88388696,0.5002053313094235,1788550.497930079
13,2,accelrate mpg2,0.5178030333711775,0.5107636615955742,0.4919073675174581,125.60794083567902,3101.2727317695753,2700.78105523697,3113.0393014600127,33016948263.47312,240875766.04373607,0.5033150819556322,1733988.443342403
14,2,accelrate mpgmpge,0.5115182685721227,0.5043871484052924,0.4891877120766337,128.99156819344944,3103.085647554743,2702.539458631516,3114.8522172451803,33447278125.706,244015245.63432908,0.5098750919283682,1756588.5638012174
15,2,accelrate I(factor(same_mpg)),0.49909897558986427,0.49178655187584774,0.47874382167647245,135.6779376666961,3106.600550834559,2705.9501310953815,3118.367120524996,34297650861.83268,250219155.89891982,0.5228382955521854,1801248.551308555
16,2,carclass_id mpg2,0.4856611286648548,0.458385582457688,0.4411617454664084,142.9126819950489,3120.3068836012635,2709.548628420535,3146.7816654047474,35217765933.89003,266664140.58963564,0.536864661320626,1919630.7940430373
17,2,mpgmpge carclass_id,0.4760380538767342,0.4482521930974701,0.435696115542725,148.0936076398482,3122.9020256339377,2712.0695220879816,3149.3768074374216,35876676263.907684,271653320.11935437,0.5469091846396132,1955546.3192466893
18,2,carclass_id I(factor(same_mpg)),0.4585929588179199,0.42988197936129435,0.42094016847967686,157.48579697186375,3127.4873508290098,2716.5261679381724,3153.9621326324936,37071175277.526764,280697904.4209208,0.5651182984601274,2020655.4205537285
19,2,mpg mpg2,0.4007851595578403,0.3920374976535751,0.3689275593840169,188.60868817350763,3131.690185123,2730.350372056925,3143.4567548134373,41029385821.11255,299330654.7019096,0.625457826154955,2154786.695715104
20,2,mpg2 mpg_rec,0.38832936993064104,0.3793998716814533,0.3508504241850532,195.3147069176876,3134.570510471268,2733.1575107904932,3146.337080161705,41882257552.29975,305552796.4318902,0.6384591248169221,2199577.9257746106
21,2,mpg mpg_rec,0.3843740195335119,0.3753867789427603,0.34201046718956063,197.4442109232005,3135.472901903029,2734.037218069154,3147.2394715934665,42153087956.60307,307528644.73209995,0.642587702238743,2213801.4326662896
22,2,mpgmpge mpg_rec,0.3733526564974153,0.36420452009591764,0.3427631992989165,203.37795493450608,3137.9571077226738,2736.4595754582197,3149.723677413111,42907741756.480385,313034235.69988686,0.6540917527070775,2253434.440455788
